,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1958,TRON,TRX,tron,999,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87143010504.68529,87143059277.18208,True,,11,71659659264.0,9400241128.329554,,2024-07-10T16:33:00.000Z,0.13117898165965738,275175083.1708384,-11.6224,0.2114546,1.50446166,1.70133496,11.85654613,3.99896442,9.91340481,11431331376.761442,0.534,11431337774.69,,2024-07-10T16:33:00.000Z,,,,,,2024-07-10 10:35:52.491370
11,5805,Avalanche,AVAX,avalanche,750,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394393250.7682646,443739620.7682646,False,,12,,,,2024-07-10T16:33:00.000Z,26.467362592283017,287657590.11419404,-21.5816,0.88052106,3.11939299,-1.93285949,-19.20137132,-21.80168636,-42.24076277,10438549172.032862,0.4875,18943980870.74,,2024-07-10T16:33:00.000Z,,,,,,2024-07-10 10:35:52.491370
12,5994,Shiba Inu,SHIB,shiba-inu,844,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270821510430.0,589519289430517.6,False,,13,,,,2024-07-10T16:33:00.000Z,1.6535469163428573e-05,249752308.91223744,-20.0531,0.47705551,1.05802003,-0.16797818,-28.88526481,-27.40191785,-39.51107698,9743869497.993938,0.4551,9747978031.62,,2024-07-10T16:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-10 10:35:52.491370
13,6636,Polkadot,DOT,polkadot-new,792,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1467213108.953746,9033013422.880955,,2024-07-10T16:33:00.000Z,6.156579005296851,176667305.33675,-13.3674,0.69028888,0.34517821,-0.84847965,-5.50723376,-8.53305548,-25.24207981,8852873906.155743,0.4135,8852873906.16,,2024-07-10T16:33:00.000Z,,,,,,2024-07-10 10:35:52.491370
14,1975,Chainlink,LINK,chainlink,1813,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-10T16:33:00.000Z,12.983323841711906,303167839.53421026,-20.8647,1.17512803,0.23262254,-10.04803481,-19.15511548,-4.04178459,-24.15594586,7895158844.523971,0.3687,12983323841.71,,2024-07-10T16:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-10 10:35:52.491370
0,1,Bitcoin,BTC,bitcoin,11595,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19719809.0,19719809.0,False,,1,,,,2024-07-10T16:35:00.000Z,57955.977869887785,27069569962.821285,-3.9713,0.16197765,0.65713423,-4.01120378,-16.93290218,-5.33050075,-16.93656567,1142880814002.414,53.379,1217075535267.64,,2024-07-10T16:35:00.000Z,,,,,,2024-07-10 10:36:54.193818
1,1027,Ethereum,ETH,ethereum,9126,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120207304.75118561,120207304.75118561,True,,2,,,,2024-07-10T16:34:00.000Z,3137.750880677476,14534523942.91814,-10.096,0.83148095,2.17669107,-5.26181527,-14.88294322,7.17981381,-10.26458099,377180576346.8984,17.6165,377180576346.9,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:36:54.193818
2,825,Tether USDt,USDT,tether,91272,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112259808785.14278,116076856616.98984,True,,3,,,,2024-07-10T16:34:00.000Z,0.9999876666140134,49367449930.22502,-9.2772,0.00534559,-0.01154039,0.11356417,0.02057973,0.03452156,0.01347135,112258424241.59024,5.2431,116075424996.31,,2024-07-10T16:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-10 10:36:54.193818
3,1839,BNB,BNB,bnb,2190,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582525.33867368,147582525.33867368,False,,4,,,,2024-07-10T16:34:00.000Z,527.1242607760104,1623246984.620093,0.0012,0.18125736,1.91345988,-5.6222783,-18.54874655,-10.83549393,-12.02047373,77794329572.60518,3.6334,77794329572.61,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:36:54.193818
4,5426,Solana,SOL,solana,699,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,463673901.8021233,579834714.0253884,True,,5,,,,2024-07-10T16:34:00.000Z,141.8819141622545,2145181785.8609138,-17.628,0.60074002,0.19319865,-0.32274232,-11.97948563,-2.90203608,-17.90869445,65786940734.76648,3.0726,82268059123.65,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:36:54.193818
